cleanText,label
hôm nay nhận một cảm giác thật tệ hại,doesn't recommend
công ty không có khả năng hay năng lực thì đừng có nhận đơn khách,doesn't recommend
nhận rồi thì phải làm chứ bắt từ khi liên hệ đến khi từ chối mất nguyên ngày của người ta,doesn't recommend
sau máy mới ra đừng có gọi tới để kêu đặt máy,doesn't recommend
mua một thời gian thì bị hỏng,doesn't recommend
t ra cửa hàng để sửa thì bị báo là không có tên trong danh sách khách hàng,doesn't recommend
may là còn lưu tin nhắn mua hàng dí vào mặt mới thừa nhận,doesn't recommend
ch vô trách nhiệm với,doesn't recommend
góc khó hiểu khi mua nguyên seal tại hôm nay mình mua con mới nguyên seal tại vạn phúc hà đông,recommends
tuy nhiên về mới để ý tai nghe đã bị kích hoạt từ,recommends
mình có more qua lại cửa hàng thì nhân viên đó giải thích là sản phẩm đều tính ngày kích hoạt từ khi họ nhập hàng,recommends
mình thấy điều này rất vô lý vì trước mình đã từng mua thì đều đủ ngày bảo hành,recommends
sau đó bạn bảo tất cả sản phẩm bên em bán ra đều như thế,recommends
tuy nhiên khi check các sản phẩm khác tại cửa hàng đó thì tất cả đều chưa kích hoạt,recommends
các bác cho em hỏi như vậy có nghĩa là em đã mua phải trôi bảo hành nhưng lại phải trả tiền hàng mới không,recommends
cho dù có bảo là sẽ gọi lên tổng đài apple để sửa ngày,recommends
nhưng như thế mình vẫn không thấy vừa ý khi mình bỏ tiền mua sản phẩm mới tinh nhưng nó lại không như thế,recommends
đây là hình ảnh mình mới mua lúc h tối và kích hoạt sau phút sau,recommends
chiếc tai nghe qua cửa hàng lần không đổi được dù sản phẩm lỗi lần nào qua cũng khất rồi sau khi nhân viên phải sang chi nhánh khác lấy sản phẩm nhưng vẫn tiếp tục lỗi đợi hơn tiếng đồng hồ không đổi được sản phẩm,doesn't recommend
nay là một ngày đẹp trời cho tâm trạng vui vẻ khoẻ khoắn nhưng lại phải ngồi nghĩ xem có nên chửi nhau với hệ thống bán lẻ di động toàn quốc chi nhánh xã đàn hay không ngày mình mua máy gb màu tím mộng mơ bóc seal trước mặt nhân viên ngay tại cửa hàng luôn rồi đó mà khum có miếng mơ mộng nào vì dùng được more tháng máy sập nguồn bật khum có lên mang ra s thì bảo chị mang ra chỗ điện thoại vui trung tâm bảo hành ủy quyền apple chính hãng thái hà cho nhanh đỡ mất thời gian lóc cóc mang ra tuần sau bên này báo là trung tâm bảo hành do apple uỷ quyền ở báo từ chối bảo hành vì máy có dấu hiệu bị mở vào nước ủa rồi ai more,doesn't recommend
cửa hàng nguyễn thị tú tân mình mua đồ tầm xấp xỉ tuần mình cũng đàng hoàng bán hàng cho mình là ngọc tiên khi tính tiền xong mình ra cửa mà còn nghe bạn tiên đứng ở trong chửi mình là cái bill đó của thằng chó đó nó đòi in chứ ai vậy mà có quản lý áo đen đứng đó nghe nhân viên chửi khách cũng more nói gì,doesn't recommend
nên về dạy lại nhân viên và xem xét người đứng trơ ra nghe nhân viên chửi khách thì có đáng làm quản lý của cửa hàng hay không,doesn't recommend
mình chỉ yêu cầu in bill cho mình thôi mà mắc gì chửi mình là thằng chó,doesn't recommend
mình ủng hộ cửa hàng các bạn mà sao các bạn khinh khách hàng dữ vậy,doesn't recommend
sẽ không bao giờ quay lại nữa mua đồ trả tiền còn bị chửi lúc đó có quản lý đứng đó còn không thèm nói gì thì mình có quay vô nói cũng chẳng được gì chi bằng lên đây góp ý và mọi người thấy còn hơn,doesn't recommend
chất lượng sản phẩm tốt và dịch vụ tốt,recommends
cho mình hỏi ở cửa hàng mình có k ad ơi và giá bạn vậy,doesn't recommend
luôn âm thầm theo dõi cả năm nay không bỏ video cell càng lớn mạnh đồng hành cùng cell,recommends
đánh giá rất chi,recommends
mình rất thích chỉ tiếc là không có điều kiện,recommends
quá thất vọng về chất lượng,doesn't recommend
cảm giác như bị tráo hàng quá thất vọng,doesn't recommend
không có gì để bàn cãi,recommends
rất hay và bổ ích,recommends
quá tốt so với quy định,recommends
tu sang den nao cung không ai nghe dt,doesn't recommend
bán trả góp quá đắt,doesn't recommend
b ơi cho m hỏi,recommends
g lên được chưa hả b có ổn định k,recommends
cũng khá giờ mình đang phấn đấu thành vip member thẻ thành viên ở vọng là nhiều chương trình tri ân khàng,recommends
làm ăn rất mất uy tín nhận máy sửa chữa lần không hết lỗi càng sửa càng nghiêm trọng,doesn't recommend
đặc biệt là việc nhận ào ào rồi đến ngày hẹn lấy máy thì báo chưa check kỹ lại lùi ngày để xem lại vẽ thêm lỗi cái này cực kỳ ghét,doesn't recommend
thề không bao giờ lại và sẽ tổ chức bóc phốt cửa hàng này,doesn't recommend
mua ở đây rất an tâm nhân viên tư vấn nhiệt tình,recommends
chưa kiểm tra gì đã bung máy ra,recommends
máy hỏng giá nẻo,recommends
lắp lại thì mất rung,recommends
bỏ k ra thay pin,doesn't recommend
để nhận về hỏng loa trong và viên pin còn tệ hơn cả viên pin cũ,doesn't recommend
liên hệ thì đùn đẩy trách nghiệm các thứ chán chả buồn nói nữa,doesn't recommend
làm ăn kiểu ôm con bỏ cho khách lên đời máy hay mua đi bán lại lần duy nhất bán xong là mày bú buồi ông hoàng kiên ý,recommends
mọi người chú ý mua máy mới còn nguyên seal hay không,doesn't recommend
shop bán điện thoại đã qua sử dụng sau khi xóa trắng lừa rồi khách hàng,doesn't recommend
thắc mắc thì không trả lời mong shop sớm làm ăn thua lỗ hình ảnh mới mở máy lên đã có trong khi đó chưa cài đặt gì,doesn't recommend
cửa hàng làm ăn bố bảo hành cho khách,doesn't recommend
không biết chất lượng sản phẩm ra sao nhưng tác phong phong cách phục vụ quá bao giờ quay lại lần,doesn't recommend
shop uy tín hàng chất lượng nhân viên phục vụ tốt sẽ ủng hộ tiếp,recommends
phục vụ kém nhắn tin gần ngày không thấy shop nào trả lời cả shop luôn ấy,recommends
chắc chắn không quay lại lần,recommends
bán hàng như lừa đảo bán xong cái quay ra thay đổi độ,doesn't recommend
tư vấn online chậm không nhiệt tình,doesn't recommend
mới mua được mấy hôm xong tự bắt khách thay pin trả tiền mình gọi đến tận quản lý mới đồng ý thay cho khách,doesn't recommend
trước khi đi mua thì nói như hát hay bảo sau có thu mua lại xong giờ nhắn lại bảo không mua nữa,doesn't recommend
tư vấn quá chán đt gọi thì không ai lúc gọi lại thì đùng đẩy qua lại không chịu tư vấn trách nhiệm đặt máy cho đã gọi nói không thấy với tên bó tay rồi kêu đưa tiền ship k trước ủa z ròi s kiểm tra máy mà đưa tiền trước chính sách gì kì z,doesn't recommend
đầu tháng đi ép kính con note,doesn't recommend
ép hỏng màn mãi thêm cho mình cái nịt đến là bực,doesn't recommend
lừa đảo máy móc hàng đểu dịch vụ thì kém,doesn't recommend
trải nghiệm mua máy và thay sửa ở mc ngày mình có mua điện thoại ở đây và tối đến mình có ra thay pin cũng như dẫn bạn mình ra ép kính s luôn,doesn't recommend
lúc mình đưa máy thì ngoài việc mất true tone more máy không có lỗi gì,doesn't recommend
màn hình k bị hở sáng,doesn't recommend
lúc cầm máy về mình cũng chủ quan vì nghĩ thay pin nên chắc không ảnh hưởng đến màn nên chỉ test chuông và tết qua màn,doesn't recommend
nhưng đêm về tắt hết điện thì mình mở độ sáng cao lên thì phát hiện màn có mấy chỗ bị hở sáng và chuyện không may bắt đầu từ đây,doesn't recommend
và vì cũng muộn nên mình ngày mai mới nhắn hẹn ra kiểm tra,doesn't recommend
trưa nay tức ngày mình có qua để hỏi thì người ta cũng giúp đỡ và kiểm tra giúp mình,doesn't recommend
sau mấy lần sửa thì gần more,doesn't recommend
điện thoại chất lượng kém vừa hết bảo hành thì hỏng màn hình khuyên gia đình người thân đừng bao giờ mua hàng ở đây,doesn't recommend
làm ăn vớ vẩn mua máy ở đây xong muốn bán lại đổi máy khác không hỗ trợ thu mua lại,doesn't recommend
đéo hiểu thế lag thế nào hay không tin tưởng máy của chính mình bán ra,doesn't recommend
đi mua đt mà bắt đi gửi xe trong khi có thể để thêm được chiếc bên ngoài bảo vệ vẫn có thể trông,doesn't recommend
khỏi muốn vào nữa luôn,doesn't recommend
xem đánh giá thì toàn thấy nhiệt tình chắc ra cửa hàng thì vậy chứ bộ phận online toàn trả lời tự động hỏi cũng như không copy lặp đi lặp lại,doesn't recommend
rất muốn mua hàng mà hỏi cái gì cũng bảo đã lưu thông tin sẽ liên hệ thì mua kiểu gì,doesn't recommend
shop không nhắc tới dán cường lực cho giá m mua về rút ra xong bán lại bà con cẩn thận làm ăn cợt nhả đó mất thêm tiền,doesn't recommend
shop rất nhiệt tình tư vấn rất nhanh nếu các bạn có bạn nào cần hỏi thì nhắn tư vấn trên nha shop trả lời là ngay lập tức rất ưng nha,recommends
tư vấn online dài dòng không trả lời đúng câu hỏi làm tốn thời gian của khách hàng,doesn't recommend
hỏi trên trang kêu có đến cửa hàng thì kêu hết chỉ còn lại đắt hơn hỏi lại cửa hàng vẫn kêu không có,doesn't recommend
về phản ánh lại bên trang chỉ xin lỗi và không đưa ra bất kì hậu mãi nào thêm như tới tận nơi lấy máy nay thì mưa,doesn't recommend
mua rất nhiều máy ở đây rồi cảm thấy rất hài lòng về chất lượng và chính sách bảo bạn bán hàng rất nhiệt tình,recommends
tư vấn nhiệt tình sản phẩm chất lượng tốt,recommends
shop quá nhiệt tình anh kỹ thuật cực kỳ chu đồng tiền bát gạo mọi người ạ,recommends
chăm sóc không quá tệ nhắn tin page và cmt hỏi không trả lời gọi thì không được,doesn't recommend
suốt ngày share bài linh tinh chứng tỏ cũng không phải bận bịu gì nhiều mà có cái tin nhắn khách hỏi tư vấn cũng chậm nhắn toàn thấy tin nhắn tự động trả lời k thấy mặt mũi nhân viên đâu,doesn't recommend
mua máy ở đây mấy lần rồi thấy nhân viên bán hàng thì tốt mà bộ phận online chán khỏi bàn luôn,doesn't recommend
mình khá hài lòng khi sử dụng dịch vụ ở đây nhân viên nhiệt tình chất lượng máy tốt,recommends
thay pin thay màn xong mất vân tay đem qua bảo hành thì nhân viên bảo vân tay ẩn đòi k chán chi nhánh trần quang khải bên quản lý đt kêu lên sửa trước mặt cho xem nhưng đem lên nó giả bộ đem vào phòng bắt đợi tiếng xong đem ra nút hôm bấm đéo ăn luôn tui bây nói máy tao bể màn lúc không kiểm tra được thì tui bây bật camera ngày giờ more nhận máy vân tay lúc đó vẫn còn dùng được ngày mất luôn nút hôm lúc được lúc không thai pin về dùng rất nóng và tốn pin thay cáp sạc thì thay đồ cũ cho khách chập chờ lúc ăn lúc không tiếp tân cố tình làm khó và kho hiểu gì về máy nói chuyện rất khó nghe,doesn't recommend
cửa hàng rất đông khách chất lượng phục vụ nhiệt tình sẽ quay lại và giới thiệu,recommends
chăm sóc khách hàng chán các bạn lắm,doesn't recommend
nhờ hỗ trợ thì này nọ,doesn't recommend
nhân viên nhiệt tình chất lượng dịch vụ tốt,recommends
nhân viên nhiệt tình chất lượng máy tốt,recommends
nhiệt tình lịch sự chu đáo,recommends
mua con hổ vằn đổi lần cái vẫn lỗi,doesn't recommend
dùng không được nổi tháng,doesn't recommend
hết lỗi nọ đến lỗi kia chán luôn,doesn't recommend
cửa hàng mình nên xem lại lô hàng nhập,doesn't recommend
nhân viên hỗ nhiệt tình chất lượng dịch vụ tốt sẽ ủng hộ shop lâu dài,recommends
toàn để giá ảo đến shop thì hướng sang máy khác nhắn tin hàng tháng không trả lời,doesn't recommend
nhân viên nhiệt tình chất lượng sản phẩm tốt,recommends
tặng ngay dao thẻ atm cực chất cho khi mua bật lửa độc lạ tại shop,recommends
com đặt mua trực tiếp tại web được luôn nhé,recommends
nếu không muốn mua hàng mà vẫn muốn được tặng chỉ cần đánh giá cho sản phẩm share lên shop sẽ tặng miễn phí cho một cặp dao atm,recommends
nhớ chụp ảnh nhắn qua cho shop để được tặng,recommends
thế giới đồ chơi công nghệ thông minh tiện ích bật lửa độc thế giới đồ chơi công nghệ thông minh tiện ích bật lửa độc thế giới đồ chơi công nghệ thông minh tiện ích bật lửa độc,recommends
nhân viên tư vấn nhiệt tình,recommends
mua t cách đây năm khi mua được miễn phí dán chống xước các bạn hứa hẹn a sang thay chống xước thì e thay đến nay sang thì k nhận bảo xuất hóa đơn a cầm về r dữ liệu thì xóa thông tin khách hàng lấy lí do hệ thống,doesn't recommend
trải nghiệm lần và không bao giờ quay trở lại,doesn't recommend
thay kính t xong nhân viên kĩ thuật làm hỏng màn zin,doesn't recommend
nhân viên nhiệt tình chu đáo hỗ trợ tốt,recommends
than màn hai ngày thì hỏng trong khi không va đập không tì đè gì lỗi màn,recommends
qua sửa thì bảo tì đè hỏng màn ủa đã bảo là không tì đè rồi,recommends
lóc cóc đi về coi như đổ lỗi cho khách hàng màn được hai ngày v,recommends
thay pin f thì thay xong sập nguồn sau tháng thì từ sạc đầy về trong p r sập nguồn,doesn't recommend
mua máy mới thì đợi tiếng mới có máy và thanh toán xong,doesn't recommend
đã mua máy ở đây rất uy tín và chuyên nghiệp,recommends
hỗ trợ nhiệt tình nhân viên thân thiện sao,recommends
đăng tin nhảm nhí quá nhiều,doesn't recommend
minh mơi ma con x được ngày do không sử dụng đến mình muốn trả mà bên mobile không hỗ trợ thu hồi sản phẩm của minh,doesn't recommend
mọi thứ đều hết nhé mn,recommends
fan page đăng vớ vẩn,doesn't recommend
không liên quan điện thoại,doesn't recommend
vừa mới tậu em lock g gold,recommends
nghe nói nhiều về mc cũng chuẩn bị tâm lý test máy kỹ,recommends
mà hơi bị bất ngờ vì được mấy chị bán hàng xinh đẹp tư vấn rất nhiệt tình,recommends
mua luôn cả rơi vỡ luôn có cái ốp lưng được tặng thế là nhìn không luôn,recommends
like cho mc nhé sẽ còn ủng hộ tiếp,recommends
để giá rất rẻ và có hàng,doesn't recommend
qua cửa hàng hỏi nhân viên trả lời tạm hết hàng,doesn't recommend
mình mới qua cầu giấy mua s anh quản lý tư vấn tình mà chiều khách nữ ghê d chỗ để xe cửa hàng mà thông thoáng với có bảo vệ thì tuyệt vời luôn vote mạnh,recommends
mức giá bán tại cửa hàng rất tuyệt,recommends
một địa chỉ uy tín để mua hàng,recommends
cảm ơn các bạn đã hướng dẫn nhiệt tình trong việc tư vấn máy cũng như up rom cho máy note x mua tại cửa hàng ạ,recommends
nhắn tin không ai tl,doesn't recommend
máy ở đây không đúng với sản mà cửa hàng quảng cáo ra cửa hàng xem thì hết hàng,doesn't recommend
chả hiểu bán hàng kiều gì gọi điện thoại bảo có mà đến cửa hàng bảo không có quá chán,doesn't recommend
nhân viên rất nhiệt tình và chu đáo k biết thế nào vì mới mua được hơn tháng nhưng cảm thấy rất hài lòng về thái độ phục vụ của mc,recommends
thái độ của nhân viên phục vụ tại mobile city rất thiếu chuyên nghiệp,doesn't recommend
mình gọi dt hỏi con lock gb còn hàng không thì bảo còn,doesn't recommend
đến mua thì nhân viên lại bảo chỉ còn loại thôi,doesn't recommend
cảm thấy rất ức chế,doesn't recommend
đã thế thái độ của nhân viên nữ còn tỏ ra rất khó chịu,doesn't recommend
ghé qua cửa hàng này nữa,doesn't recommend
thích điện thoại lắm chẳng có tiền mua,recommends
duyệt qua mấy bài thấy nhiều quá,recommends
thôi cho để bù lại,recommends
ước gì mc cho con về để dùng,recommends
mình đặc mua lock gb mà nhắn mãi không thấy trả lời,doesn't recommend
không biết chất lượng ra sao nhưng trước mắt thấy rất thiếu chuyên nghiệp,doesn't recommend
đã từng mua tại ưng về chất lượng và cách phục vụ,recommends
chúc mc năm mới thành công rực rỡ,recommends
đã từng mua và dùng rất tốt tuyệt vời nice very good i like it,recommends
bên mc mà có chế độ hỗ trợ khách hàng thu mua máy và hỗ trợ khách hàng lên đời máy nữa thì tuyệt vời đặc biệt là các sản phẩm,doesn't recommend
hàng rất độ bảo hành cả hợp lý và nhân viên tư vấn nhiệt thương,recommends
mình và anh trai mình đã đến đây và mua nhiều sản phẩm của mc,recommends
chất lượng máy tốt và thái độ phục vụ của các bạn nhân viên rất nhiệt tình và cởi mc luôn phát triển và thành công,recommends
máy vừa sửa xong đến lấy thì bung nắp lưng gắn lại về nhà vẫn tiếp tục bung,doesn't recommend
không biết sửa kiểu gì mà hỏng thêm cả màn hình không biết thật hay là lí do để luộc đồ,doesn't recommend
phiếu bảo hành thì ghi sai tên máy,doesn't recommend
thái độ phục vụ nhân viên rõ chán,doesn't recommend
mọi thứ đều tuyệt vời,recommends
nhân viên thân thiện nhiệt tình tư vấn,recommends
ưng cái bụng chấm bút sao,recommends
mong của hàng luôn nhiệt tình với khách hàng như vậy,recommends
nếu có sao chắc mình cho luôn,doesn't recommend
nói thật câu các bạn làm ăn thái độ rất lịch sự nhưng mà chuyên môn với chất lượng thì quá kém mình xin phép không dùng từ bố láo,doesn't recommend
thay kính lúc đầu kêu vỡ biết không phải thay xong sau thì kêu phải thay mất k,doesn't recommend
khách không thay nữa thì mãi không trả máy lại rồi bắt khách đi bộ qua lấy cũng chẳng more lắp lại máy cho khách,doesn't recommend
làm ăn không đặt cái tâm cái đức vào thì không bao giờ tốt được đâu các bạn ạ nói vậy cũng đủ hiểu không bao giờ mình tin tưởng và nghĩ đến mobile city khi quyết định mua hay sửa chữa điện thoại nữa dù mình rất lịch sự và dễ tính rồi thân,doesn't recommend
tuyệt vời ông mặt trời,recommends
mình mất tiền mua miếng dán cường lực hết k thì được tặng cái ốp lưng,doesn't recommend
nhưng mà không biết shop cố y hay vô ý mà bán cho mình cái cường lực không vừa máy tý gì quá bé so với màn hình còn cái ốp lưng thì thà không tặng còn hơn cũng không vừa và quá bé,doesn't recommend
nói chung là cái cường lực và ốp lưng hoàn toàn của máy khác,doesn't recommend
dán cái cường lực chỉ làm mất thẩm mỹ của máy mình,doesn't recommend
mong shop sớm phản hồi để mình còn biết,doesn't recommend
mình rất thích cửa hàng cầu giấy nhân viên nhiệt tình vui vẻ,recommends
sẽ ủng hộ dài dài,recommends
đặc biệt cảm ơn bạn nhân viên tên đạt đã nhiệt tình tư vấn hỗ trợ kỹ thuật,recommends
hàng rất chất đã mua con ở mc rất hài lòng chất lượng máy,recommends
bên mobile city làm ăn khá tốt đi sửa máy bên đây cũng hỗ trợ tận tình và hỗ trợ giá nhân viên chu đáo tận tình,recommends
trước có mua máy không hiểu sao bị lỗi các anh chị rất nhiệt tình đổi máy khác cho mình ngay mặc dù máy đã quá thời gian bao test vài hôm nhưng vẫn linh động thật sự cảm thấy rất hài lòn,recommends
vừa mua con ở đây,recommends
máy rất ok nhân viên tư vấn nhiệt tình nữa,recommends
lần sau chắc chắn sẽ còn ủng hộ dài dài,recommends
mặt tư vấn và support khá ok có bạn tư vấn khách hàng rất nhiệt tình,recommends
marketing rất tốt cho cửa hàng uy tín nhân viên nhiệt tình tư vấn khách hàng có thể gửi gắm niềm tin,recommends
vừa rồi có đem cái máy mua ở chỗ khác đến cài lại room,recommends
tôi thấy rất hài lòng mb làm ăn rất uy tín,recommends
mình có mua con mi ở đây cho cô thời gian có hiện tượng loạn cảm ứng rồi hiện chấm màu trên màn hình,doesn't recommend
mang ra cửa hàng bảo hành thì thái độ của nhân viên khá khó chịu,doesn't recommend
chả hiểu nhân viên ở đây coi khách hàng ra gì nữa,doesn't recommend
tôi có mua con a tại trần quang khải,recommends
tôi cảm thấy hài lòng,recommends
nhân viên rất vui vẻ nhiệt tình,recommends
khâu chăn sóc khách hàng tốt,recommends
mình đã mua mấy chiếc ở cửa hàng cho mình và người thân,recommends
mình thấy chất lượng rất ok nhân viên rất thân thiện chu đáo,recommends
bên mình có ship về vinh không ạ em muốn mua máy lock ạ,recommends
bên mình có hỗ trợ trả góp cho máy cũ mình rất thích chế độ này vì không phải ai cũng có tiền mua máy mới,recommends
chất lượng sản phẩm của mc rất tuyệt vời,recommends
chúc mc làm ăn phát đạt,recommends
thật tình cũng muốn cho mc lắm nhưng thật sự thất vọng về mấy cái mớ phụ kiện theo cây note vừa mới mua mình biết mua máy cũ thì sẽ không bằng máy chính hãng nhưng trên web thì để đường đến khi nhận hàng thì chuyển tiền xong thì được báo là không có sạc nhanh sau khi mình dẫn chứng vòng vo mới được cục sạc và đỗ cho trương trình km more nắm bắt kịp cái này mình không tin vì mình mua ở mc lần này nữa là cũng máy rồi,doesn't recommend
mình đã đồng ý là bên shop báo bên shop hết hộp note thì mình sẽ lấy gậy nhưng những món phụ kiện như tay nghe que chọc sim này kia đăng trên web ít nhất cũng phải có đằng này khui ra không có gì hết ngoài cục sạc dt cho nhân viên thì trả lời là không more,doesn't recommend
có con mua tr cả nói cả nguồn và màn hình mà khi mình mang đến pin hết chạy này nọ rồi quay sang thay pin,recommends
báo thay pin rồi mình nhận máy biết ngay là chưa mở máy ra chứ đừng nói là thay pin,recommends
đùa chứ mua máy ở đấy ở nên tận mua máy đi lần cảm thấy ức chế thật mua tháng năm more tháng mua con x thật sai lầm,recommends
cửa hàng khá to và nhiều chi nhánh có cả review,recommends
nản bên cửa hàng đã có phản hồi mình sẽ gửi máy nên trong ngày và hi vọng sẽ hài lòng khi nhận máy,recommends
giá cả rất tốt rồi nhưng cần phải cải thiện dịch vụ mua hàng online bằng hình thức ship nếu sợ khách hàng không lấy hàng thì lúc đặt hàng mc nên lấy trước số tiền ship để khách hàng ít mua online được an tâm hơn,recommends
mc ơi tôi ở huế đã theo dõi kênh rất thích các bạn review nhưng ở xa quá tôi muốn mua máy thì phải làm thế nào,recommends
tuy cửa hàng quảng cáo khá tốt trên nhưng khâu bán hàng và chăm sóc khách hàng lại kém nên chấn chỉnh lại nếu ok sẽ hẹn gặp lại,recommends
cố gắng làm tốt hơn nữa nhé,recommends
chúc mc luôn đông khách,recommends
hiện tại rất hài lòng về sản phẩm đã mua,recommends
rất ghét cái kiểu đăng lên web xong ra thì không có hàng,doesn't recommend
website như để làm cảnh chẳng cập nhật hàng còn hay hết,doesn't recommend
mi đề giá rõ rẻ nhưng không bao giờ có hàng giá đề mặc định cực rẻ câu khách là giá của màu đen mà màu đen bới cả hà nội cũng chẳng có thì đề làm gì,doesn't recommend
xem trên web thấy còn hàng,doesn't recommend
gọi điện hỏi thì bảo là hết hàng đã thế giá thì giảm liên tục tưởng sẽ mua được cái về dùng,doesn't recommend
làm ăn thế thì làm làm gì,doesn't recommend
vừa mua mi ở mc cầu giấy nói chung nhân viên phục vụ nhiệt tình mấy anh kỹ thuật hăng hái up rom cho khách và giả quyết thắc mắt rất tận tình mình rất thích,recommends
chúc mc làm ăn phát đạt,recommends
nhân viên kĩ thuật tầng ghét thế kb,doesn't recommend
không thích mua hàng từ xa mà phải chuyển tiền tiền trước cho lắm khi nào quảng ngãi có chi nhánh sẽ ủng hộ,doesn't recommend
ok cửa hàng làm ăn rốt tốt,recommends
nhân viên rất nhiệt tình và chu đáo,recommends
mình mua con mi ở đây cũng được mấy tháng rồi rất ok cố gắng phát huy nhé,recommends
chúc cửa hàng làm ăn phát đạt,recommends
có dịp mình lại mua tiếp,recommends
mỗi tội quên k lắp ốc,recommends
chế độ hậu mãi tốt,recommends
đi từ thái nguyên xuống mà hỏi máy gì cũng k có,doesn't recommend
đúng kiểu treo giá rẻ hơn nhưng ảo k có hàng bán,doesn't recommend
vô cùng thất vọng vụ tăng giá blackberry passport bản pháp,doesn't recommend
mua chục máy ở đây,recommends
buồn trĩu lòng không có tiền mua máy ủng hộ shop,recommends
máy của anh em chẳng biết bị gì anh chỉ dặn mang qua thái hà bảo các anh kỹ thuật hỗ trợ không mất phí về anh em vui lắm cảm ơn,recommends
sau khi được anh quản lý nhiệt tình giúp đỡ thì vấn đề đã được giải quyết cảm thấy khách hàng được coi trọng,recommends
rất hài lòng với chất lượng sản phẩm tuy nhiên cần cải thiện chính sách giao hàng đi xa,recommends
chúc ngày càng phát triển mở rộng tới đà nẵng thì càng tốt,recommends
không biết các bộ phận khác,doesn't recommend
nhưng tư vấn thì quá tệ,doesn't recommend
tay nghề kĩ thuật viên quá con m qua thay pin lúc ráp lại vỏ hở tìm lum lại còn keo vào nữa cho sao là đã quá hào phóng với các bạn rồi,doesn't recommend
hôm nay đến chi nhánh cầu viên bán hàng khá nở hơn nhưng kiến thức hơi hạn bác kỹ thuật thì m vẫn thích thái hà rất ấn tượng với quả tv hàng nên bổ sung thông tin về dòng tv này,doesn't recommend
đặt trước hôm bảo chuyển phí k cho mc,doesn't recommend
rồi lại bảo không chuyển phát đi xa được do s đen và trắng màn hình ám vàng sợ khách trả trong khi mình sẵn sàng chuyển tiền,doesn't recommend
bảo giữ giúp mình s màu đen g ở đó đến ngày mình qua lấy,doesn't recommend
ok em sẽ bảo kĩ thuật check và giúp anh,doesn't recommend
đến gọi đến bảo còn more vàng màu đen hết rồi tôi quan trọng chất lượng chứ không phải vì cái màu vàng mà phải bỏ thêm,doesn't recommend
