,content,label
12,"nay là một ngày đẹp trời cho tâm trạng vui vẻ khoẻ khoắn nhưng lại phải ngồi nghĩ xem có nên chửi nhau với CellphoneS - Hệ thống bán lẻ di động toàn quốc chi nhánh 384 Xã Đàn hay không 🥲 ngày 22/5/2022 mình mua máy iphone 11 64GB màu tím mộng mơ bóc seal trước mặt nhân viên ngay tại cửa hàng lun rồi đó mà khum có miếng mơ mộng nào vì dùng được 2… More tháng máy sập nguồn bật khum có lên mang ra Cellphone S thì bảo ""chị mang ra chỗ Điện Thoại Vui AASP - Trung Tâm Bảo Hành Ủy Quyền Apple Chính Hãng 115 Thái Hà cho nhanh, đỡ mất thời gian"", lóc cóc mang ra ... 3 tuần sau bên này báo là Trung tâm bảo hành do Apple uỷ quyền ở HCM báo từ chối bảo hành vì máy có dấu hiệu bị mở, vào nước ... ủa rồi ai mở?… More",doesn't recommend
13,"Cửa hàng Cellphones 229 Nguyễn Thị Tú, Q.Bình Tân, mình mua đồ tầm xấp xỉ 1 tuần, mình nch cũng đàng hoàng, nv bán hàng cho mình là Ngọc Tiên, khi tính tiền xong, mình ra cửa mà còn nghe bạn Tiên đứng ở trong chửi mình là ""Cái bill đó của thằng chó đó nó đòi in chứ ai"", vậy mà có anh/bạn quản lý áo đen đứng đó nghe nhân viên chửi khách cũng không… More nói gì! Cellphones nên về dạy lại nhân viên và xem xét 1 người đứng trơ ra nghe nhân viên chửi khách thì có đáng làm Quản lý của 1 cửa hàng hay không? Mình chỉ yêu cầu in bill cho mình thôi mà mắc gì chửi mình là ""Thằng chó""? Mình ủng hộ cửa hàng các bạn mà sao các bạn khinh khách hàng dữ vậy!  Sẽ không bao giờ quay lại Cellphones nữa, mua đồ trả tiền còn bị chửi =))))) Lúc đó có quản lý đứng đó còn ko thèm nói gì thì Mình có quay vô nói cũng chẳng được gì, chi bằng lên đây góp ý đêt admin và mọi người thấy còn hơn.",doesn't recommend
14,Chất lượng sản phẩm tốt và dịch vụ tốt. Nhân viên dễ thương,recommends
15,Cho mk hỏi ở cửa hàng mk có ip5 k ad ơi và giá bn vậy,doesn't recommend
16,tuyệt...e luôn âm thầm theo dõi Cellphones cả 1 năm nay ko bỏ 1 video nào...mong cell càng lớn mạnh nhé...luôn đồng hành cùng cell,recommends
17,Tuyệt vời!!! <3,recommends
18,tuyệt vời :D,recommends
19,Đánh giá sp rất chi tiét,recommends
20,Mình rất thích chỉ tiếc là ko có điều kiện,recommends
21,Nhiều máy đẹp,recommends
22,quá thất vọng về chất lượng,doesn't recommend
23,"cảm giác như bị tráo hàng, quá thất vọng",doesn't recommend
24,không có gì để bàn cãi,recommends
25,Rất hay và bổ ích,recommends
26,Quá tốt so với quy định,recommends
27,tuyệt vời,recommends
28,tu sang den 2.30 goi sdt nao cung khong ai nghe dt. dich vu rat kem!,doesn't recommend
29,bán trả góp quá đắt,doesn't recommend
30,good.I like,recommends
31,B ơi cho m hỏi. G2 docomo lên 4.4 dc chưa hả b . Có ổn định k,recommends
32,Cũng khá ổn...và giờ mình đang phấn đấu thành Vip Member (thẻ thành viên) ở cellphoneS.Hi vọng là coa nhiều chương trình tri ân k.hàng :))),recommends
33,I like this page.,recommends
34,Good :3,recommends
35,Suat sac,recommends
36,Khá ngon,recommends
37,Ngon,recommends
38,@@,recommends
39,like,recommends
40,like,recommends
41,ok,recommends
42,ok,recommends
43,like,recommends
44,(y),recommends
45,<3,recommends
46,(y),recommends
47,Tráo phụ kiện,doesn't recommend
48,tốt,recommends
49,Tốt,recommends
